product_id,category_id,sku,name,slug,description,price,cost,status,created_at,updated_at
17,3,EPP-6310,Echo Portable Plug,echo-portable-plug,The high-performance Echo Portable Plug designed for optimal durability and style.,127.27,93.86,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
18,10,MPYM-4946,Matrix Premium Yoga Mat,matrix-premium-yoga-mat,The high-performance Matrix Premium Yoga Mat designed for optimal durability and style.,1054.59,594.65,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
19,2,NPT-3103,Nova Portable Tablet,nova-portable-tablet,The high-performance Nova Portable Tablet designed for optimal durability and style.,1324.61,746.92,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
20,8,VPB-4295,Vortex Premium Bookshelf,vortex-premium-bookshelf,The high-performance Vortex Premium Bookshelf designed for optimal durability and style.,1082.34,721.8,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
21,8,HWCT-4681,Horizon Wireless Coffee Table,horizon-wireless-coffee-table,The high-performance Horizon Wireless Coffee Table designed for optimal durability and style.,138.16,105.42,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
22,2,QAL-4750,Quantum Active Laptop,quantum-active-laptop,The high-performance Quantum Active Laptop designed for optimal durability and style.,148.79,113.09,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
23,5,SHJ-9834,Summit Heavy-Duty Jacket,summit-heavy-duty-jacket,The high-performance Summit Heavy-Duty Jacket designed for optimal durability and style.,50.11,28.35,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
24,10,HCSB-2545,Horizon Comfort Sleeping Bag,horizon-comfort-sleeping-bag,The high-performance Horizon Comfort Sleeping Bag designed for optimal durability and style.,123.54,81.52,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
25,9,AAK-2612,Apex Active Kettle,apex-active-kettle,The high-performance Apex Active Kettle designed for optimal durability and style.,55.16,33.15,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
26,3,UPH-3296,Ultra Portable Hub,ultra-portable-hub,The high-performance Ultra Portable Hub designed for optimal durability and style.,111.25,77.3,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
27,6,NPB-1828,Nova Portable Blouse,nova-portable-blouse,The high-performance Nova Portable Blouse designed for optimal durability and style.,233.47,148.68,discontinued,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
28,2,NPT-7658,Nova Premium Tablet,nova-premium-tablet,The high-performance Nova Premium Tablet designed for optimal durability and style.,979.0,695.87,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
29,6,ACC-8454,Apex Comfort Cardigan,apex-comfort-cardigan,The high-performance Apex Comfort Cardigan designed for optimal durability and style.,110.56,67.08,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
30,9,THB-4111,Terra Heavy-Duty Blender,terra-heavy-duty-blender,The high-performance Terra Heavy-Duty Blender designed for optimal durability and style.,192.09,107.65,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
31,9,TCT-8811,Titan Classic Toaster,titan-classic-toaster,The high-performance Titan Classic Toaster designed for optimal durability and style.,311.65,180.52,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
32,2,SSN-2113,Stellar Smart Notebook,stellar-smart-notebook,The high-performance Stellar Smart Notebook designed for optimal durability and style.,1355.3,956.05,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
33,3,SEP-2343,Sierra Ergonomic Plug,sierra-ergonomic-plug,The high-performance Sierra Ergonomic Plug designed for optimal durability and style.,110.61,69.49,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
34,3,SLS-5351,Summit Lite Speaker,summit-lite-speaker,The high-performance Summit Lite Speaker designed for optimal durability and style.,104.99,64.18,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
35,10,QCBH-2638,Quantum Classic Bike Helmet,quantum-classic-bike-helmet,The high-performance Quantum Classic Bike Helmet designed for optimal durability and style.,95.33,67.77,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
36,2,ULM-3584,Ultra Lite Monitor,ultra-lite-monitor,The high-performance Ultra Lite Monitor designed for optimal durability and style.,884.8,562.99,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
37,10,SPYM-5905,Summit Portable Yoga Mat,summit-portable-yoga-mat,The high-performance Summit Portable Yoga Mat designed for optimal durability and style.,1118.65,827.53,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
38,2,TPT-5462,Terra Portable Tablet,terra-portable-tablet,The high-performance Terra Portable Tablet designed for optimal durability and style.,574.29,408.66,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
39,10,MPBH-5114,Matrix Portable Bike Helmet,matrix-portable-bike-helmet,The high-performance Matrix Portable Bike Helmet designed for optimal durability and style.,1087.16,630.95,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
40,5,ACH-3143,Apex Classic Hoodie,apex-classic-hoodie,The high-performance Apex Classic Hoodie designed for optimal durability and style.,195.49,136.61,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
41,6,ECB-2232,Echo Classic Blouse,echo-classic-blouse,The high-performance Echo Classic Blouse designed for optimal durability and style.,331.59,201.51,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
42,5,SPJ-8041,Sierra Portable Jeans,sierra-portable-jeans,The high-performance Sierra Portable Jeans designed for optimal durability and style.,48.7,33.49,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
43,10,ALSB-5088,Apex Lite Sleeping Bag,apex-lite-sleeping-bag,The high-performance Apex Lite Sleeping Bag designed for optimal durability and style.,802.98,543.72,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
44,8,TSCT-3662,Terra Smart Coffee Table,terra-smart-coffee-table,The high-performance Terra Smart Coffee Table designed for optimal durability and style.,1465.38,859.27,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
45,9,TCJ-5065,Titan Comfort Juicer,titan-comfort-juicer,The high-performance Titan Comfort Juicer designed for optimal durability and style.,174.75,103.18,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
46,10,HPSB-8541,Horizon Premium Sleeping Bag,horizon-premium-sleeping-bag,The high-performance Horizon Premium Sleeping Bag designed for optimal durability and style.,424.79,248.38,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
47,9,UCCM-5564,Ultra Comfort Coffee Maker,ultra-comfort-coffee-maker,The high-performance Ultra Comfort Coffee Maker designed for optimal durability and style.,521.32,292.31,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
48,6,SPT-1452,Summit Portable Trenchcoat,summit-portable-trenchcoat,The high-performance Summit Portable Trenchcoat designed for optimal durability and style.,53.64,30.05,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
49,5,AWB-6663,Apex Wireless Blazer,apex-wireless-blazer,The high-performance Apex Wireless Blazer designed for optimal durability and style.,221.82,152.26,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
50,6,SPC-1727,Sierra Premium Cardigan,sierra-premium-cardigan,The high-performance Sierra Premium Cardigan designed for optimal durability and style.,252.44,194.06,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
51,9,TAB-6967,Terra Active Blender,terra-active-blender,The high-performance Terra Active Blender designed for optimal durability and style.,270.15,152.25,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
52,9,SWK-5920,Stellar Wireless Kettle,stellar-wireless-kettle,The high-performance Stellar Wireless Kettle designed for optimal durability and style.,314.13,192.31,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
53,8,NPOC-7211,Nexus Premium Office Chair,nexus-premium-office-chair,The high-performance Nexus Premium Office Chair designed for optimal durability and style.,1030.5,588.39,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
54,8,SCDT-5700,Stellar Classic Dining Table,stellar-classic-dining-table,The high-performance Stellar Classic Dining Table designed for optimal durability and style.,350.82,207.23,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
55,6,HAS-9375,Horizon Active Skirt,horizon-active-skirt,The high-performance Horizon Active Skirt designed for optimal durability and style.,173.52,99.12,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
56,2,MPK-2530,Matrix Portable Keyboard,matrix-portable-keyboard,The high-performance Matrix Portable Keyboard designed for optimal durability and style.,1639.57,978.52,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
57,3,NCP-5011,Nexus Classic Plug,nexus-classic-plug,The high-performance Nexus Classic Plug designed for optimal durability and style.,246.14,153.3,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
58,9,SPK-7291,Sierra Premium Kettle,sierra-premium-kettle,The high-performance Sierra Premium Kettle designed for optimal durability and style.,306.74,215.71,draft,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
59,10,SWWB-4585,Stellar Wireless Water Bottle,stellar-wireless-water-bottle,The high-performance Stellar Wireless Water Bottle designed for optimal durability and style.,217.66,122.35,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
60,3,SWH-3184,Stellar Wireless Hub,stellar-wireless-hub,The high-performance Stellar Wireless Hub designed for optimal durability and style.,202.34,123.85,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
61,10,HEWB-9976,Horizon Ergonomic Water Bottle,horizon-ergonomic-water-bottle,The high-performance Horizon Ergonomic Water Bottle designed for optimal durability and style.,539.53,391.08,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
62,10,UAT-9540,Ultra Active Tent,ultra-active-tent,The high-performance Ultra Active Tent designed for optimal durability and style.,585.64,412.53,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
63,3,MLLB-9849,Matrix Lite Light Bulb,matrix-lite-light-bulb,The high-performance Matrix Lite Light Bulb designed for optimal durability and style.,29.34,21.33,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
64,3,QCS-6421,Quantum Comfort Switch,quantum-comfort-switch,The high-performance Quantum Comfort Switch designed for optimal durability and style.,140.23,93.0,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
65,10,SCWB-8814,Sierra Classic Water Bottle,sierra-classic-water-bottle,The high-performance Sierra Classic Water Bottle designed for optimal durability and style.,15.03,10.18,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
66,10,VPSB-8999,Vortex Portable Sleeping Bag,vortex-portable-sleeping-bag,The high-performance Vortex Portable Sleeping Bag designed for optimal durability and style.,269.55,177.58,discontinued,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
67,5,SAB-3704,Summit Active Blazer,summit-active-blazer,The high-performance Summit Active Blazer designed for optimal durability and style.,254.07,144.38,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
68,6,SED-2375,Sierra Ergonomic Dress,sierra-ergonomic-dress,The high-performance Sierra Ergonomic Dress designed for optimal durability and style.,230.32,168.38,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
69,6,TPJ-6355,Titan Premium Jeans,titan-premium-jeans,The high-performance Titan Premium Jeans designed for optimal durability and style.,128.06,73.61,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
70,6,MWJ-1317,Matrix Wireless Jeans,matrix-wireless-jeans,The high-performance Matrix Wireless Jeans designed for optimal durability and style.,265.92,200.54,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
71,2,NAL-1508,Nova Active Laptop,nova-active-laptop,The high-performance Nova Active Laptop designed for optimal durability and style.,1899.98,1357.44,discontinued,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
72,3,USH-2874,Ultra Smart Hub,ultra-smart-hub,The high-performance Ultra Smart Hub designed for optimal durability and style.,145.35,103.16,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
73,3,SEC-3683,Sierra Ergonomic Camera,sierra-ergonomic-camera,The high-performance Sierra Ergonomic Camera designed for optimal durability and style.,241.53,178.38,discontinued,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
74,5,SAB-7498,Sierra Active Blazer,sierra-active-blazer,The high-performance Sierra Active Blazer designed for optimal durability and style.,283.14,202.36,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
75,3,QPC-1672,Quantum Pro Camera,quantum-pro-camera,The high-performance Quantum Pro Camera designed for optimal durability and style.,93.33,61.64,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
76,5,ACP-2729,Apex Comfort Polo,apex-comfort-polo,The high-performance Apex Comfort Polo designed for optimal durability and style.,136.85,92.4,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
77,3,VSL-9817,Vortex Smart Lock,vortex-smart-lock,The high-performance Vortex Smart Lock designed for optimal durability and style.,195.91,127.84,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
78,5,SPC-5569,Stellar Premium Chinos,stellar-premium-chinos,The high-performance Stellar Premium Chinos designed for optimal durability and style.,265.91,187.01,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
79,6,TCJ-6325,Titan Classic Jeans,titan-classic-jeans,The high-performance Titan Classic Jeans designed for optimal durability and style.,75.92,53.99,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
80,8,TPB-1166,Terra Pro Bookshelf,terra-pro-bookshelf,The high-performance Terra Pro Bookshelf designed for optimal durability and style.,796.69,570.89,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
81,8,NPN-8800,Nova Premium Nightstand,nova-premium-nightstand,The high-performance Nova Premium Nightstand designed for optimal durability and style.,984.79,637.24,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
82,3,VPL-7046,Vortex Premium Lock,vortex-premium-lock,The high-performance Vortex Premium Lock designed for optimal durability and style.,123.58,78.94,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
83,5,THS-6023,Titan Heavy-Duty Sweater,titan-heavy-duty-sweater,The high-performance Titan Heavy-Duty Sweater designed for optimal durability and style.,84.4,62.04,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
84,8,NSCT-4545,Nova Smart Coffee Table,nova-smart-coffee-table,The high-performance Nova Smart Coffee Table designed for optimal durability and style.,1119.67,778.49,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
85,8,MWBF-4180,Matrix Wireless Bed Frame,matrix-wireless-bed-frame,The high-performance Matrix Wireless Bed Frame designed for optimal durability and style.,476.04,321.55,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
86,3,MCP-5786,Matrix Classic Plug,matrix-classic-plug,The high-performance Matrix Classic Plug designed for optimal durability and style.,177.38,130.13,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
87,10,AET-8690,Apex Ergonomic Tent,apex-ergonomic-tent,The high-performance Apex Ergonomic Tent designed for optimal durability and style.,578.63,393.53,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
88,10,HWD-7565,Horizon Wireless Dumbbells,horizon-wireless-dumbbells,The high-performance Horizon Wireless Dumbbells designed for optimal durability and style.,594.16,374.04,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
89,10,SPD-5066,Sierra Pro Dumbbells,sierra-pro-dumbbells,The high-performance Sierra Pro Dumbbells designed for optimal durability and style.,149.19,88.69,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
90,3,NPS-8381,Nova Portable Switch,nova-portable-switch,The high-performance Nova Portable Switch designed for optimal durability and style.,228.04,157.41,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
91,8,SCB-2625,Sierra Classic Bookshelf,sierra-classic-bookshelf,The high-performance Sierra Classic Bookshelf designed for optimal durability and style.,1423.74,1014.14,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
92,3,USC-3564,Ultra Smart Camera,ultra-smart-camera,The high-performance Ultra Smart Camera designed for optimal durability and style.,10.64,6.98,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
93,3,MPH-2166,Matrix Pro Hub,matrix-pro-hub,The high-performance Matrix Pro Hub designed for optimal durability and style.,174.97,99.3,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
94,9,NPAF-2880,Nova Premium Air Fryer,nova-premium-air-fryer,The high-performance Nova Premium Air Fryer designed for optimal durability and style.,335.85,206.83,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
95,2,ASM-5728,Apex Smart Monitor,apex-smart-monitor,The high-performance Apex Smart Monitor designed for optimal durability and style.,886.72,577.91,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
96,5,EPP-8172,Echo Portable Polo,echo-portable-polo,The high-performance Echo Portable Polo designed for optimal durability and style.,35.17,26.65,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
97,5,AWJ-1339,Apex Wireless Jacket,apex-wireless-jacket,The high-performance Apex Wireless Jacket designed for optimal durability and style.,299.88,183.28,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
98,10,NHBH-5557,Nexus Heavy-Duty Bike Helmet,nexus-heavy-duty-bike-helmet,The high-performance Nexus Heavy-Duty Bike Helmet designed for optimal durability and style.,224.34,140.86,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
99,2,HLM-6460,Horizon Lite Mouse,horizon-lite-mouse,The high-performance Horizon Lite Mouse designed for optimal durability and style.,652.3,482.36,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
100,6,MAYP-1601,Matrix Active Yoga Pants,matrix-active-yoga-pants,The high-performance Matrix Active Yoga Pants designed for optimal durability and style.,167.37,114.85,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
101,6,SPD-9889,Stellar Portable Dress,stellar-portable-dress,The high-performance Stellar Portable Dress designed for optimal durability and style.,169.76,127.92,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
102,6,SHD-4335,Summit Heavy-Duty Dress,summit-heavy-duty-dress,The high-performance Summit Heavy-Duty Dress designed for optimal durability and style.,104.46,76.5,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
103,6,QCS-3594,Quantum Classic Skirt,quantum-classic-skirt,The high-performance Quantum Classic Skirt designed for optimal durability and style.,119.1,91.14,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
104,10,QHD-3522,Quantum Heavy-Duty Dumbbells,quantum-heavy-duty-dumbbells,The high-performance Quantum Heavy-Duty Dumbbells designed for optimal durability and style.,602.06,363.06,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
105,10,HHSB-8483,Horizon Heavy-Duty Sleeping Bag,horizon-heavy-duty-sleeping-bag,The high-performance Horizon Heavy-Duty Sleeping Bag designed for optimal durability and style.,665.11,445.85,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
106,3,SWL-7798,Stellar Wireless Lock,stellar-wireless-lock,The high-performance Stellar Wireless Lock designed for optimal durability and style.,91.57,54.06,draft,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
107,9,MEM-9022,Matrix Ergonomic Microwave,matrix-ergonomic-microwave,The high-performance Matrix Ergonomic Microwave designed for optimal durability and style.,521.85,342.58,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
108,10,ECBH-6272,Echo Comfort Bike Helmet,echo-comfort-bike-helmet,The high-performance Echo Comfort Bike Helmet designed for optimal durability and style.,1044.57,583.43,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
109,10,NCYM-6213,Nova Comfort Yoga Mat,nova-comfort-yoga-mat,The high-performance Nova Comfort Yoga Mat designed for optimal durability and style.,895.69,541.98,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
110,9,NAB-9115,Nova Active Blender,nova-active-blender,The high-performance Nova Active Blender designed for optimal durability and style.,579.6,425.2,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
111,2,SHN-9617,Stellar Heavy-Duty Notebook,stellar-heavy-duty-notebook,The high-performance Stellar Heavy-Duty Notebook designed for optimal durability and style.,1822.23,1393.49,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
112,3,QHL-6546,Quantum Heavy-Duty Lock,quantum-heavy-duty-lock,The high-performance Quantum Heavy-Duty Lock designed for optimal durability and style.,159.58,106.48,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
113,9,SPAF-6188,Stellar Portable Air Fryer,stellar-portable-air-fryer,The high-performance Stellar Portable Air Fryer designed for optimal durability and style.,383.54,219.96,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
114,8,QPN-5708,Quantum Premium Nightstand,quantum-premium-nightstand,The high-performance Quantum Premium Nightstand designed for optimal durability and style.,1496.25,894.15,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
115,9,TWAF-3725,Terra Wireless Air Fryer,terra-wireless-air-fryer,The high-performance Terra Wireless Air Fryer designed for optimal durability and style.,422.52,241.2,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
116,5,TLB-3385,Titan Lite Blazer,titan-lite-blazer,The high-performance Titan Lite Blazer designed for optimal durability and style.,82.33,54.67,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
117,3,QES-4945,Quantum Ergonomic Switch,quantum-ergonomic-switch,The high-performance Quantum Ergonomic Switch designed for optimal durability and style.,129.44,81.33,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
118,6,MAD-8622,Matrix Active Dress,matrix-active-dress,The high-performance Matrix Active Dress designed for optimal durability and style.,316.91,193.38,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
119,5,SPB-5097,Sierra Pro Blazer,sierra-pro-blazer,The high-performance Sierra Pro Blazer designed for optimal durability and style.,143.57,98.94,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
120,2,UCK-5847,Ultra Comfort Keyboard,ultra-comfort-keyboard,The high-performance Ultra Comfort Keyboard designed for optimal durability and style.,1985.49,1371.56,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
121,5,AET-9138,Apex Ergonomic T-Shirt,apex-ergonomic-t-shirt,The high-performance Apex Ergonomic T-Shirt designed for optimal durability and style.,251.86,143.8,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
122,10,TPSB-5106,Titan Premium Sleeping Bag,titan-premium-sleeping-bag,The high-performance Titan Premium Sleeping Bag designed for optimal durability and style.,815.9,491.37,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
123,9,QAK-1645,Quantum Active Kettle,quantum-active-kettle,The high-performance Quantum Active Kettle designed for optimal durability and style.,199.18,131.0,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
124,2,MLM-3877,Matrix Lite Mouse,matrix-lite-mouse,The high-performance Matrix Lite Mouse designed for optimal durability and style.,413.58,244.25,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
125,8,MSDT-8894,Matrix Smart Dining Table,matrix-smart-dining-table,The high-performance Matrix Smart Dining Table designed for optimal durability and style.,1452.54,1003.43,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
126,6,QSS-7511,Quantum Smart Skirt,quantum-smart-skirt,The high-performance Quantum Smart Skirt designed for optimal durability and style.,339.04,199.17,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
127,2,MPN-8451,Matrix Portable Notebook,matrix-portable-notebook,The high-performance Matrix Portable Notebook designed for optimal durability and style.,746.64,445.89,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
128,9,TWK-4830,Titan Wireless Kettle,titan-wireless-kettle,The high-performance Titan Wireless Kettle designed for optimal durability and style.,293.46,182.3,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
129,8,UAS-8606,Ultra Active Sofa,ultra-active-sofa,The high-performance Ultra Active Sofa designed for optimal durability and style.,1368.16,942.85,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
130,2,MHN-2592,Matrix Heavy-Duty Notebook,matrix-heavy-duty-notebook,The high-performance Matrix Heavy-Duty Notebook designed for optimal durability and style.,481.08,306.66,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
131,9,TPAF-3531,Terra Portable Air Fryer,terra-portable-air-fryer,The high-performance Terra Portable Air Fryer designed for optimal durability and style.,533.54,327.84,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
132,5,ALJ-8264,Apex Lite Jacket,apex-lite-jacket,The high-performance Apex Lite Jacket designed for optimal durability and style.,140.07,98.78,active,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00
